,moniker,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,result
58,mp20,0.0,0.000911276304305212,0.09613409944395182,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.7900000000000014,0.5349999999999995,1.3800000000000052,22.052045375748303
59,Chainflow,0.0,1.1102079215350398,0.3033144842578214,10.10000000000003,2.0,1.0,0.0,0.0,3.1500000000000066,2.7900000000000014,0.2149999999999993,1.3800000000000052,22.048522405792905
60,commercio.network,0.0,9.112763043052119e-05,0.6157116983872593,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.1900000000000053,0.5349999999999995,1.3800000000000052,21.97080282601774
61,Bi23 Labs,0.0,0.017160869404171462,0.09378887069914865,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.7900000000000014,0.3899999999999995,1.3800000000000052,21.920949740103367
62,BasBlock,0.0,0.5350474452033971,0.3361030428645372,10.10000000000003,2.0,0.0,0.0,0.0,3.1500000000000066,2.370000000000004,0.2149999999999993,2.8800000000000012,21.58615048806798
63,ITA Stakers,0.0,0.685898303614643,0.18576473901925256,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,21.511663042633945
64,Swiss Staking,0.0,0.000911276304305212,0.19857904964379766,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.085000000000006,0.47999999999999954,1.3800000000000052,21.394490325948155
65,AC Validator 🚀,0.0,0.02733828912915636,0.23819239349143406,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.370000000000004,0.07999999999999925,1.3800000000000052,21.345530682620637
66,BwareLabs,0.0,9.112763043052119e-05,0.05646492018290995,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.3899999999999995,1.3800000000000052,21.29155604781339
67,Zero Knowledge Validator (ZKV),0.0,0.016311845847063293,0.6802081935286644,10.10000000000003,2.0,1.0,1.0,1.0,0.9250000000000096,2.7900000000000014,0.3899999999999995,1.3800000000000052,21.281520039375778
68,ping,0.0,2.0674125515772346,0.0668309511885262,10.10000000000003,2.0,1.0,0.0,0.0,3.1500000000000066,1.2150000000000056,0.2149999999999993,1.3800000000000052,21.19424350276581
69,notional,0.0,2.290948629023303,0.6838476898033368,10.10000000000003,2.0,1.0,0.0,1.0,0.7000000000000095,1.2150000000000056,0.7949999999999998,1.3800000000000052,21.164796318826692
70,Validatus,0.0,9.112763043052119e-05,0.06117124715640054,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.2149999999999993,1.3800000000000052,21.12126237478688
71,SmartNodes,0.0,0.16185530831311745,0.10477010930607927,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,20.906625417619246
72,SolidStake,0.0,0.40635017850072613,0.05703117908277915,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.5349999999999995,1.3800000000000052,20.843381357583556
73,iqlusion,0.0,0.911276304305212,0.8861991822571041,10.10000000000003,2.0,1.0,0.0,0.0,0.9250000000000096,1.2150000000000056,0.7949999999999998,3.0,20.83247548656236
74,Chandra Station ,0.0,9.112763043052119e-05,0.9813082377608816,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,0.1800000000000049,0.7949999999999998,1.3800000000000052,20.586399365391355
75,ushakov,0.0,0.23902777461925712,0.05628111712410237,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.3899999999999995,1.3800000000000052,20.53030889174341
76,16psyche,0.0,0.029603325343083853,0.0581152892750322,10.10000000000003,2.0,0.0,0.0,1.0,3.1500000000000066,2.520000000000003,0.2149999999999993,1.3800000000000052,20.45271861461816
77,Provalidator,0.0,9.112763043052119e-05,0.2961797606130897,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.2149999999999993,1.3800000000000052,20.356270888243568
78,POSTHUMAN ∞ DVS,0.0,0.03194086269978187,0.25245679867541726,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.2149999999999993,1.3800000000000052,20.344397661375247
79,hydrogen18,5.0,0.0001002403934735733,0.14025003465480115,10.10000000000003,0.0,0.0,0.0,0.0,3.1500000000000066,0.1800000000000049,0.2149999999999993,1.3800000000000052,20.16535027504832
80,StakeThat,0.0,0.0030983394346377206,0.05930314469901288,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.2149999999999993,1.3800000000000052,20.1224014841337
81,jetlife,0.0,0.24768489951015665,0.06709991570251694,10.10000000000003,2.0,1.0,0.0,0.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,19.954784815212722
